0.16603;0.0181771;0.0217007;0.00364781
0.158208;0.01745;0.0220252;0.00364006
0.161146;0.0193744;0.0226852;0.00354034
0.157549;0.0187545;0.0225528;0.00405523
0.163592;0.0201939;0.0231179;0.00436929
0.160999;0.0218596;0.0232989;0.00390363
0.160296;0.0185825;0.0228519;0.00409542
0.168551;0.0203398;0.0244347;0.00416581
0.151022;0.0170959;0.0212076;0.00352246
0.163056;0.0202976;0.0241091;0.00397464
0.192763;0.0228047;0.0234641;0.00386502
0.162902;0.0206775;0.0246819;0.00392835
0.166277;0.0202384;0.0240497;0.00393923
0.164391;0.0219042;0.0245368;0.00489855
0.163934;0.0193502;0.0236884;0.00404139
0.205941;0.0193161;0.0231237;0.00392696
0.167404;0.0197621;0.0229538;0.0040965
0.177828;0.0199418;0.0251211;0.00454004
0.164798;0.0195213;0.023927;0.00384313
0.166135;0.0204886;0.0254227;0.00419044
0.155532;0.0225984;0.0245523;0.00384584
0.163002;0.0192454;0.023381;0.0038939
0.160855;0.0199198;0.0249438;0.0040392
0.16579;0.0197746;0.0242469;0.00398316
0.16594;0.0185963;0.0254615;0.00388559
0.151035;0.0174873;0.0215651;0.0036379
0.15329;0.0173448;0.0211078;0.0035558
0.157563;0.018151;0.020767;0.00372656
0.150487;0.0183194;0.0210287;0.00359457
0.161413;0.0191869;0.0240762;0.00399885
0.156753;0.0195886;0.024066;0.00375561
0.165049;0.0197357;0.025978;0.00397596
0.158279;0.0174365;0.0218787;0.00345095
0.169777;0.0192074;0.0238541;0.00421054
0.160726;0.0200177;0.0249315;0.00444297
0.164045;0.0191506;0.0232113;0.00419041
0.177697;0.0201162;0.0229416;0.00374427
0.161697;0.0191662;0.0238358;0.00385949
0.166036;0.0189304;0.0242225;0.00405554
0.161439;0.01874;0.0250554;0.00387557
0.164607;0.0198171;0.0236168;0.00439444
0.164955;0.0199363;0.0239947;0.00388365
0.163272;0.0207026;0.024328;0.00420274
0.169139;0.021071;0.0241619;0.00402207
0.1675;0.0205211;0.025294;0.00389453
0.165316;0.0189256;0.0243972;0.00386227
0.161174;0.0195657;0.0230853;0.00387366
0.165547;0.0188715;0.0241842;0.00389017
0.170802;0.0193501;0.0234484;0.0038775
0.164189;0.0193893;0.0234913;0.00386724
